"VendorID","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","total_amount","pickup_hour","speed","temp","hum","vis","fog","rain","gasprice"
NA,1,-73.8706588745117,40.7736167907715,-73.9373931884766,40.8450889587402,39.84,17,17.6810126582278,7.2,56,16,0,0,1.297
NA,5,-73.9836730957031,40.721549987793,-73.9899978637695,40.7349891662598,7.3,10,13.6945244956772,25,36,12,0,0,1.167
NA,1,-73.9883575439453,40.7185173034668,-73.9590148925781,40.6994361877441,12.8,16,13.5064935064935,26.7,40,12,0,0,1.155
NA,1,-73.9795684814453,40.7627983093262,-73.9924850463867,40.7586212158203,9.3,15,7.35420098846788,11.7,48,8,0,1,1.297
NA,1,-73.9631271362305,40.7708206176758,-73.9533538818359,40.8222579956055,24.36,7,10.7663551401869,22.8,44,14,0,0,1.167
NA,1,-73.9955368041992,40.7233390808106,-73.9891586303711,40.7362785339356,6.3,20,15.622641509434,21.7,51,14,0,0,1.155
NA,1,-73.9546051025391,40.7673301696777,-74.004020690918,40.7104835510254,20.3,7,34.7826086956522,17.8,75,16,0,0,1.297
NA,2,-73.9702224731445,40.7890472412109,-73.9466171264649,40.8016395568848,11.8,18,11.3739130434783,8.9,89,6,0,0,1.167
NA,2,-73.9470138549805,40.7764053344727,-73.9961471557617,40.7254333496094,16.3,8,29.1319554848967,10,59,16,0,0,1.284
NA,3,-73.9550170898438,40.7690696716309,-73.953239440918,40.7883491516113,9.3,6,18.3068181818182,17.8,75,16,0,0,1.297
NA,1,-73.9798126220703,40.7524185180664,-73.9857635498047,40.7310104370117,10.8,13,12.5454545454545,15,48,16,0,0,1.297
NA,2,-73.9830703735352,40.7507019042969,-74.0098648071289,40.7057151794434,17.16,3,20.4533715925395,7.8,47,16,0,0,1.297
NA,1,-73.9554290771484,40.7173080444336,-73.9544143676758,40.7307891845703,7.3,3,14.3478260869565,5,55,16,0,0,1.284
NA,1,-73.9462585449219,40.7727508544922,-73.9520874023438,40.7981147766113,11.3,13,13.1004366812227,22.2,61,16,0,0,1.264
NA,3,-73.9879684448242,40.7189025878906,-73.9899368286133,40.7567672729492,16.8,21,10.6019417475728,21.1,87,14,0,0,1.133
NA,1,-73.9773178100586,40.7494888305664,-73.9695892333984,40.7937812805176,23.16,20,11.3843797856049,21.7,51,14,0,0,1.155
NA,1,-73.9665451049805,40.7536125183105,-73.9646606445313,40.7714157104492,9.8,0,9.94818652849741,5.6,51,16,0,0,1.284
NA,1,-73.9876556396484,40.7215919494629,-74.004035949707,40.7419891357422,12.8,3,12.1927710843373,7.8,47,16,0,0,1.297
NA,1,-73.9675140380859,40.7522964477539,-73.9989776611328,40.761116027832,20.75,0,12.9133858267717,5.6,51,16,0,0,1.284
NA,1,-73.9909896850586,40.7309303283691,-74.0037231445313,40.7385215759277,10.38,17,8.97799511002445,8.9,89,3,0,1,1.167
NA,1,-73.9693069458008,40.7611312866211,-73.9609069824219,40.7609596252441,7.56,11,6.48648648648649,25,36,12,0,0,1.167
NA,1,-73.9941024780273,40.7325859069824,-73.9778900146484,40.7545738220215,10.8,13,10.5726872246696,4.4,51,16,0,0,1.284
NA,4,-73.9889984130859,40.6919136047363,-74.0127029418945,40.701717376709,11.3,16,21.219512195122,11.1,47,16,0,0,1.297
NA,1,-74.0006256103516,40.7296981811523,-73.9856872558594,40.7276763916016,12.7,0,6.42857142857143,16.7,50,16,0,0,1.264
NA,2,-73.975700378418,40.7513694763184,-73.9958114624024,40.7442283630371,10.8,16,12.2553191489362,26.7,40,12,0,0,1.155
NA,1,-73.9806137084961,40.7831611633301,-73.9473724365234,40.7769813537598,19,15,6.07929515418502,25.6,46,16,0,0,1.264
NA,1,-73.9743576049805,40.7935791015625,-73.9879989624023,40.7718200683594,8.3,6,15.9791122715405,17.8,75,16,0,0,1.297
NA,1,-73.870979309082,40.773811340332,-74.0013275146484,40.6846656799316,42.88,18,25.4347826086957,11.1,43,16,0,0,1.297
NA,4,-73.9977874755859,40.7566261291504,-73.9754409790039,40.7558135986328,14.05,10,5.44029850746269,25,36,12,0,0,1.167
NA,1,-73.9751968383789,40.7571716308594,-74.0020065307617,40.7347984313965,12.3,11,13.4766839378238,12.8,51,16,0,0,1.284
NA,1,-73.9986877441406,40.7279243469238,-73.9889907836914,40.7230567932129,6.3,14,7.85454545454545,27.8,33,12,0,0,1.155
NA,1,-73.9912948608399,40.7499847412109,-73.9692840576172,40.7611618041992,13.8,17,6.57391304347826,7.2,56,16,0,0,1.297
NA,1,-73.9778213500977,40.7341117858887,-73.9902572631836,40.7306594848633,9.8,9,8.62619808306709,17.8,75,16,0,0,1.297
NA,1,-73.9769134521484,40.7646713256836,-73.9658508300781,40.7637825012207,7.56,18,7.16129032258065,7.2,60,16,0,0,1.297
NA,5,-73.990852355957,40.7556686401367,-73.9812927246094,40.7473182678223,9.3,11,5.89984825493172,8.9,83,16,0,0,1.264
NA,1,-74.0039749145508,40.7383766174316,-73.9844055175781,40.7750587463379,14.76,3,18.8484848484848,5,55,16,0,0,1.284
NA,1,-73.9918441772461,40.7515678405762,-74.0024032592774,40.760498046875,7.8,17,11.8523076923077,25.6,43,12,0,0,1.155
NA,1,-73.9766235351563,40.7591285705566,-73.9449996948242,40.8000984191895,15.8,21,19.9367088607595,20.6,63,16,0,0,1.264
NA,1,-73.9794692993164,40.7776412963867,-73.9753112792969,40.752571105957,15.8,17,7.35294117647059,9,87,3,0,1,1.167
NA,1,-73.9731903076172,40.7926483154297,-73.9458999633789,40.8276023864746,15.3,12,9.95064165844028,26.7,35,12,0,0,1.167
NA,1,-73.9812622070313,40.7445297241211,-73.9777374267578,40.7514495849609,5.3,5,16.9756097560976,21.1,87,16,0,0,1.133
NA,5,-73.9765472412109,40.7881202697754,-73.9540786743164,40.775390625,9.3,22,15.622641509434,7.2,90,14,0,0,1.167
NA,1,-73.990966796875,40.7505264282227,-73.9075546264649,40.8495826721191,33.3,21,23.9847715736041,1.7,54,16,0,0,1.284
NA,1,-73.9919891357422,40.764289855957,-73.9822082519531,40.7678298950195,5.8,14,11.4545454545455,8.9,80,16,0,0,1.167
NA,2,-73.9855728149414,40.7633323669434,-73.9750366210938,40.753231048584,8.3,3,8.59002169197397,5,55,16,0,0,1.284
NA,5,-73.9901809692383,40.756721496582,-73.982292175293,40.7572593688965,4.8,8,7.76842105263158,23.9,73,12,0,0,1.155
NA,1,-73.9725341796875,40.7623329162598,-73.9709548950195,40.7573509216309,5.8,18,5.93814432989691,10.6,41,16,0,0,1.297
NA,2,-73.9278411865234,40.6978416442871,-73.931755065918,40.7058181762695,6.3,1,13.4579439252336,23.3,62,16,0,0,1.155
NA,1,-73.921989440918,40.7414436340332,-73.9037704467773,40.7470626831055,8.8,2,10.1079913606911,21.1,93,11,0,0,1.133
NA,6,-73.976921081543,40.7801513671875,-73.9810104370117,40.7641181945801,8.3,12,11.4260869565217,25.6,71,14,0,0,1.155
NA,1,-73.9581527709961,40.6469497680664,-73.9723739624024,40.6457786560059,7.3,5,12.8659793814433,5,51,16,0,0,1.297
NA,1,-73.9950485229492,40.7249221801758,-73.9771194458008,40.7140884399414,11.15,18,12.9186602870813,21.1,93,3,0,1,1.133
